Model,Location,MAPE,horizon,reference_date
MOBS-GLEAM_FLUH,08,0.16666666666666666,1,2024-05-04
MOBS-GLEAM_FLUH,09,0.7699999999999999,1,2024-05-04
MOBS-GLEAM_FLUH,10,0.0,1,2024-05-04
MOBS-GLEAM_FLUH,11,0.0,1,2024-05-04
MOBS-GLEAM_FLUH,12,2.091411764705882,1,2024-05-04
MOBS-GLEAM_FLUH,13,3.828142857142857,1,2024-05-04
MOBS-GLEAM_FLUH,15,2.8713333333333337,1,2024-05-04
MOBS-GLEAM_FLUH,17,4.068615384615384,1,2024-05-04
MOBS-GLEAM_FLUH,18,1.3386666666666667,1,2024-05-04
MOBS-GLEAM_FLUH,19,2.3333333333333335,1,2024-05-04
MOBS-GLEAM_FLUH,20,1.3476,1,2024-05-04
MOBS-GLEAM_FLUH,21,4.521666666666667,1,2024-05-04
MOBS-GLEAM_FLUH,22,1.008,1,2024-05-04
MOBS-GLEAM_FLUH,23,0.25,1,2024-05-04
MOBS-GLEAM_FLUH,24,2.2316000000000003,1,2024-05-04
MOBS-GLEAM_FLUH,25,0.26360416666666664,1,2024-05-04
MOBS-GLEAM_FLUH,26,0.17870000000000005,1,2024-05-04
MOBS-GLEAM_FLUH,28,0.7898571428571428,1,2024-05-04
MOBS-GLEAM_FLUH,29,1.0211111111111113,1,2024-05-04
MOBS-GLEAM_FLUH,30,0.5,1,2024-05-04
MOBS-GLEAM_FLUH,31,8.401,1,2024-05-04
MOBS-GLEAM_FLUH,32,14.793,1,2024-05-04
MOBS-GLEAM_FLUH,34,0.01985106382978723,1,2024-05-04
MOBS-GLEAM_FLUH,35,0.5625,1,2024-05-04
MOBS-GLEAM_FLUH,36,0.8295961538461538,1,2024-05-04
MOBS-GLEAM_FLUH,39,3.0,1,2024-05-04
MOBS-GLEAM_FLUH,40,2.210444444444444,1,2024-05-04
MOBS-GLEAM_FLUH,41,0.31238888888888894,1,2024-05-04
MOBS-GLEAM_FLUH,42,0.074452380952381,1,2024-05-04
MOBS-GLEAM_FLUH,44,0.25,1,2024-05-04
MOBS-GLEAM_FLUH,45,0.48880952380952386,1,2024-05-04
MOBS-GLEAM_FLUH,46,6.0,1,2024-05-04
MOBS-GLEAM_FLUH,47,1.3951764705882355,1,2024-05-04
MOBS-GLEAM_FLUH,48,166.0,1,2024-05-04
MOBS-GLEAM_FLUH,49,0.3333333333333333,1,2024-05-04
MOBS-GLEAM_FLUH,51,0.3175641025641025,1,2024-05-04
MOBS-GLEAM_FLUH,53,0.08475000000000003,1,2024-05-04
MOBS-GLEAM_FLUH,55,0.9621999999999999,1,2024-05-04
MOBS-GLEAM_FLUH,US,0.968568075117371,1,2024-05-04
MOBS-GLEAM_FLUH,01,0.1328818181818182,-1,2023-12-16
MOBS-GLEAM_FLUH,02,0.015071428571428593,-1,2023-12-16
MOBS-GLEAM_FLUH,04,0.08284536082474228,-1,2023-12-16
MOBS-GLEAM_FLUH,05,0.22007317073170732,-1,2023-12-16
MOBS-GLEAM_FLUH,06,0.0833536866359447,-1,2023-12-16
MOBS-GLEAM_FLUH,08,0.021568627450980468,-1,2023-12-16
MOBS-GLEAM_FLUH,09,0.028729729729729793,-1,2023-12-16
MOBS-GLEAM_FLUH,10,0.11899999999999995,-1,2023-12-16
MOBS-GLEAM_FLUH,11,0.2281428571428572,-1,2023-12-16
MOBS-GLEAM_FLUH,12,0.00954927726675434,-1,2023-12-16
MOBS-GLEAM_FLUH,13,0.21704214559386972,-1,2023-12-16
MOBS-GLEAM_FLUH,15,0.15768749999999998,-1,2023-12-16
MOBS-GLEAM_FLUH,16,0.22610869565217398,-1,2023-12-16
MOBS-GLEAM_FLUH,17,0.0763853658536585,-1,2023-12-16
MOBS-GLEAM_FLUH,18,0.05218784530386739,-1,2023-12-16
MOBS-GLEAM_FLUH,19,0.331,-1,2023-12-16
MOBS-GLEAM_FLUH,20,0.1757297297297297,-1,2023-12-16
MOBS-GLEAM_FLUH,21,0.025979166666666664,-1,2023-12-16
MOBS-GLEAM_FLUH,22,0.06853164556962027,-1,2023-12-16
MOBS-GLEAM_FLUH,23,0.11400000000000006,-1,2023-12-16
MOBS-GLEAM_FLUH,24,0.04011538461538468,-1,2023-12-16
MOBS-GLEAM_FLUH,26,0.1380982658959537,-1,2023-12-16
MOBS-GLEAM_FLUH,27,0.12658333333333335,-1,2023-12-16
MOBS-GLEAM_FLUH,28,0.03416901408450707,-1,2023-12-16
MOBS-GLEAM_FLUH,29,0.1558785714285714,-1,2023-12-16
MOBS-GLEAM_FLUH,30,0.016666666666666736,-1,2023-12-16
MOBS-GLEAM_FLUH,31,0.27590909090909094,-1,2023-12-16
MOBS-GLEAM_FLUH,32,0.14097402597402603,-1,2023-12-16
MOBS-GLEAM_FLUH,33,0.07973333333333331,-1,2023-12-16
MOBS-GLEAM_FLUH,34,0.05013124999999992,-1,2023-12-16
MOBS-GLEAM_FLUH,35,0.22943529411764702,-1,2023-12-16
MOBS-GLEAM_FLUH,36,0.09651473477406675,-1,2023-12-16
MOBS-GLEAM_FLUH,37,0.15008012820512817,-1,2023-12-16
MOBS-GLEAM_FLUH,38,0.11790909090909096,-1,2023-12-16
MOBS-GLEAM_FLUH,39,0.15227950310559005,-1,2023-12-16
MOBS-GLEAM_FLUH,40,0.09584745762711866,-1,2023-12-16
MOBS-GLEAM_FLUH,41,0.24597674418604648,-1,2023-12-16
MOBS-GLEAM_FLUH,42,0.03921505376344077,-1,2023-12-16
MOBS-GLEAM_FLUH,44,0.01033333333333338,-1,2023-12-16
MOBS-GLEAM_FLUH,45,0.19944632768361578,-1,2023-12-16
MOBS-GLEAM_FLUH,46,0.31750000000000006,-1,2023-12-16
MOBS-GLEAM_FLUH,47,0.2049671052631579,-1,2023-12-16
MOBS-GLEAM_FLUH,48,0.08765500603136316,-1,2023-12-16
MOBS-GLEAM_FLUH,49,0.07311764705882355,-1,2023-12-16
MOBS-GLEAM_FLUH,50,0.09687500000000004,-1,2023-12-16
MOBS-GLEAM_FLUH,51,0.025261146496815337,-1,2023-12-16
MOBS-GLEAM_FLUH,53,0.08177108433734948,-1,2023-12-16
MOBS-GLEAM_FLUH,54,0.07974999999999995,-1,2023-12-16
MOBS-GLEAM_FLUH,55,0.05493814432989684,-1,2023-12-16
MOBS-GLEAM_FLUH,56,0.1668333333333334,-1,2023-12-16
MOBS-GLEAM_FLUH,US,0.10597190038620327,-1,2023-12-16
MOBS-GLEAM_FLUH,01,0.07766990291262135,-1,2024-02-10
