Model,location,target_end_date,wis,horizon,reference_date,baseline,wis_baseline,wis_ratio
NU_UCSD-GLEAM_AI_FLUH,13,2024-04-27,14.514927826086959,0,2024-04-27,FluSight-baseline,5.391828260869563,2.6920233961135245
CEPH-Rtrend_fluH,15,2024-04-27,4.317617391304349,0,2024-04-27,FluSight-baseline,5.886576086956524,0.7334683740640551
FluSight-ensemble,15,2024-04-27,4.987614329136737,0,2024-04-27,FluSight-baseline,5.886576086956524,0.8472861397626872
MIGHTE-Nsemble,15,2024-04-27,3.2519280275200093,0,2024-04-27,FluSight-baseline,5.886576086956524,0.5524311551371318
MOBS-GLEAM_FLUH,15,2024-04-27,3.1256521739130436,0,2024-04-27,FluSight-baseline,5.886576086956524,0.5309796607978727
NU_UCSD-GLEAM_AI_FLUH,15,2024-04-27,3.004679565217392,0,2024-04-27,FluSight-baseline,5.886576086956524,0.5104290713026136
CEPH-Rtrend_fluH,16,2024-04-27,9.803141304347827,0,2024-04-27,FluSight-baseline,11.243282608695653,0.87191095746059
FluSight-ensemble,16,2024-04-27,4.546423598546408,0,2024-04-27,FluSight-baseline,11.243282608695653,0.40436799080636504
MIGHTE-Nsemble,16,2024-04-27,4.582803086750761,0,2024-04-27,FluSight-baseline,11.243282608695653,0.4076036551110422
MOBS-GLEAM_FLUH,16,2024-04-27,3.013913043478261,0,2024-04-27,FluSight-baseline,11.243282608695653,0.26806344271265353
NU_UCSD-GLEAM_AI_FLUH,16,2024-04-27,3.9150947826086955,0,2024-04-27,FluSight-baseline,11.243282608695653,0.34821634560539527
CEPH-Rtrend_fluH,17,2024-04-27,4.237826086956523,0,2024-04-27,FluSight-baseline,21.21318043478261,0.19977325417964614
FluSight-ensemble,17,2024-04-27,9.344465727247535,0,2024-04-27,FluSight-baseline,21.21318043478261,0.4405028164435775
MIGHTE-Nsemble,17,2024-04-27,15.969404945078328,0,2024-04-27,FluSight-baseline,21.21318043478261,0.7528057847890539
MOBS-GLEAM_FLUH,17,2024-04-27,5.095474347826087,0,2024-04-27,FluSight-baseline,21.21318043478261,0.24020322475884814
NU_UCSD-GLEAM_AI_FLUH,17,2024-04-27,12.27392652173913,0,2024-04-27,FluSight-baseline,21.21318043478261,0.5785990723773764
CEPH-Rtrend_fluH,18,2024-04-27,3.3817565217391303,0,2024-04-27,FluSight-baseline,14.986184782608696,0.22565826931906124
FluSight-ensemble,18,2024-04-27,8.494826823353828,0,2024-04-27,FluSight-baseline,14.986184782608696,0.5668438596334393
MIGHTE-Nsemble,18,2024-04-27,10.440244531773667,0,2024-04-27,FluSight-baseline,14.986184782608696,0.6966579341721088
MOBS-GLEAM_FLUH,18,2024-04-27,3.27996304347826,0,2024-04-27,FluSight-baseline,14.986184782608696,0.2188657814552388
NU_UCSD-GLEAM_AI_FLUH,18,2024-04-27,23.344109999999997,0,2024-04-27,FluSight-baseline,14.986184782608696,1.5577086722626416
CEPH-Rtrend_fluH,19,2024-04-27,9.921304347826089,0,2024-04-27,FluSight-baseline,24.163986956521743,0.41058225886636546
FluSight-ensemble,19,2024-04-27,13.66156747715136,0,2024-04-27,FluSight-baseline,24.163986956521743,0.5653689311177256
MIGHTE-Nsemble,19,2024-04-27,8.3621157960988,0,2024-04-27,FluSight-baseline,24.163986956521743,0.34605695703878475
MOBS-GLEAM_FLUH,19,2024-04-27,5.958260869565218,0,2024-04-27,FluSight-baseline,24.163986956521743,0.2465760671153281
NU_UCSD-GLEAM_AI_FLUH,19,2024-04-27,14.839586086956524,0,2024-04-27,FluSight-baseline,24.163986956521743,0.6141199344982841
CEPH-Rtrend_fluH,20,2024-04-27,10.933478260869567,0,2024-04-27,FluSight-baseline,9.691956521739131,1.1280981540048898
FluSight-ensemble,20,2024-04-27,3.564074511042949,0,2024-04-27,FluSight-baseline,9.691956521739131,0.36773529710422276
MIGHTE-Nsemble,20,2024-04-27,2.602480625704923,0,2024-04-27,FluSight-baseline,9.691956521739131,0.26851963479897367
MOBS-GLEAM_FLUH,20,2024-04-27,1.7852886956521743,0,2024-04-27,FluSight-baseline,9.691956521739131,0.18420312675234957
NU_UCSD-GLEAM_AI_FLUH,20,2024-04-27,5.154569130434784,0,2024-04-27,FluSight-baseline,9.691956521739131,0.5318398941300497
CEPH-Rtrend_fluH,21,2024-04-27,3.424347826086956,0,2024-04-27,FluSight-baseline,13.545560869565216,0.25280221757232196
FluSight-ensemble,21,2024-04-27,7.2827877554951375,0,2024-04-27,FluSight-baseline,13.545560869565216,0.5376512516257955
MIGHTE-Nsemble,21,2024-04-27,10.127411500222573,0,2024-04-27,FluSight-baseline,13.545560869565216,0.7476553830249513
MOBS-GLEAM_FLUH,21,2024-04-27,5.553687826086956,0,2024-04-27,FluSight-baseline,13.545560869565216,0.4100005809700531
NU_UCSD-GLEAM_AI_FLUH,21,2024-04-27,16.098373478260868,0,2024-04-27,FluSight-baseline,13.545560869565216,1.18846119649659
CEPH-Rtrend_fluH,22,2024-04-27,2.3721739130434782,0,2024-04-27,FluSight-baseline,4.883732608695651,0.48572968733377053
FluSight-ensemble,22,2024-04-27,3.066380192710563,0,2024-04-27,FluSight-baseline,4.883732608695651,0.6278763475401519
MIGHTE-Nsemble,22,2024-04-27,2.8686381730787915,0,2024-04-27,FluSight-baseline,4.883732608695651,0.5873864117726437
MOBS-GLEAM_FLUH,22,2024-04-27,2.565136956521739,0,2024-04-27,FluSight-baseline,4.883732608695651,0.5252410731812847
NU_UCSD-GLEAM_AI_FLUH,22,2024-04-27,10.225242608695654,0,2024-04-27,FluSight-baseline,4.883732608695651,2.0937351464511513
CEPH-Rtrend_fluH,23,2024-04-27,1.666521739130435,0,2024-04-27,FluSight-baseline,1.548334782608696,1.0763316550459539
FluSight-ensemble,23,2024-04-27,1.363460497143077,0,2024-04-27,FluSight-baseline,1.548334782608696,0.880597989826118
MIGHTE-Nsemble,23,2024-04-27,2.832386033127845,0,2024-04-27,FluSight-baseline,1.548334782608696,1.8293111185913737
MOBS-GLEAM_FLUH,23,2024-04-27,2.5391304347826087,0,2024-04-27,FluSight-baseline,1.548334782608696,1.6399104788594756
NU_UCSD-GLEAM_AI_FLUH,23,2024-04-27,2.218514782608696,0,2024-04-27,FluSight-baseline,1.548334782608696,1.432839207339161
CEPH-Rtrend_fluH,24,2024-04-27,3.42,0,2024-04-27,FluSight-baseline,11.192706521739128,0.3055561220476456
FluSight-ensemble,24,2024-04-27,7.161551818382473,0,2024-04-27,FluSight-baseline,11.192706521739128,0.6398409361018168
MIGHTE-Nsemble,24,2024-04-27,6.484777309482849,0,2024-04-27,FluSight-baseline,11.192706521739128,0.5793752652129077
MOBS-GLEAM_FLUH,24,2024-04-27,8.501078260869566,0,2024-04-27,FluSight-baseline,11.192706521739128,0.7595194463786105
